,0
0,-0.7667836117329773
1,-0.9751454125992407
2,-0.6374364103535322
3,-0.6014649741418621
4,-0.40128222312461526
5,-0.630725287075971
6,-0.8256280635531603
7,-1.0926835887167843
8,-1.4161027223787657
9,-1.3789643469636512
10,-1.132959321211747
11,-1.2076714322564903
12,-1.2525030645526634
13,-1.2390344821155699
14,-1.409915461741119
15,-1.5143381813031516
16,-1.1889266574841797
17,-0.969654503407007
18,-0.8223948335805037
19,-0.7832171413872129
20,-0.8704715262391854
21,-1.0378574411812809
22,-1.2143616763591278
23,-1.441682632870071
24,-1.5662388580708686
25,-1.2608590267518147
26,-1.2550540462939948
27,-1.1669220809234633
28,-1.078885605369173
29,-1.0050048962241311
30,-0.9910507135964927
31,-0.9679074861384557
32,-1.1211816093135172
33,-1.2054785188961206
34,-1.0191705290747892
35,-1.1002665268628282
36,-1.1485786623747962
37,-0.6372275531905897
38,-0.13665022090767143
39,-0.05008866988948662
40,0.048671148298446036
41,0.09568946383424691
42,0.14946145908273242
43,0.18977524371615057
44,0.15580419293303294
45,0.15516772256856742
46,0.02021365590369882
47,-0.0045621029625669725
48,0.06843827447062685
49,0.022488748938475387
50,-0.03041084767675837
51,-0.03557907669543887
52,0.010972213612529137
53,-0.017606249728491362
54,0.015421202747303934
55,0.12150916969280896
56,0.15554212538714876
57,0.1491122548747845
58,0.1444614257404733
59,0.11143415247001939
60,0.11749891857234405
61,0.01881634815257095
62,0.15347223231747756
63,0.10448560236846109
64,0.08003716892436451
65,0.17305621016645067
66,0.2641448047422793
67,0.28293062756567944
68,0.29650909010092535
69,0.4216800168235482
70,0.4909054599862564
71,0.4865207617935074
72,0.5306668510297274
73,0.30841773288359087
74,0.30113849392498904
75,0.025189327512974927
76,-0.41237343998649884
77,-0.42913392235041475
78,-0.017045042802898924
79,0.09074023618638387
80,0.14812182340220514
81,0.14047066365941832
82,0.3158071147737134
83,0.5220446242734148
84,0.4946361536121264
85,0.5427323253991098
86,0.6149608069358787
87,0.547691582875932
88,0.5017728973815643
89,0.42483589097611224
90,0.4151173030435879
91,0.44022499960981826
92,0.45104515063021594
93,0.5046610135235332
94,0.5078526497968118
95,0.5364713879148548
96,0.547100642548617
97,0.4432828353543492
98,0.40155423716114735
99,0.45010410553070823
100,0.49203758322101243
101,0.42123001944548283
102,0.399262960760349
103,0.16502737143300938
104,-0.19888485493647606
105,-0.2988453810556088
106,-0.3830311464175491
107,-0.4985549069386163
108,-0.2048241934331732
109,0.12103430817433301
110,0.08518970017826542
111,0.1514984265599192
112,0.03846429201497362
113,0.00727743015872697
114,-0.015800474105848027
115,-0.08939793622540972
116,-0.14129671893290577
117,-0.13142089824058875
118,-0.22315794643615944
119,-0.22337650622135136
120,-0.2833119897063289
121,-0.31978402869170447
122,-0.3385526344942068
123,-0.2621019884469473
124,-0.29388745366577806
125,-0.1647186034803313
126,0.10492232778538128
127,0.22490884815958856
128,0.10399935159200187
129,0.08485706163376917
130,0.12916258331500555
131,0.1764819405698079
132,0.246190123146913
133,0.24139494714666815
134,0.17399441289360162
135,0.1836362528786773
136,0.1329619701177374
137,0.12302992260733178
138,0.21910184423387913
139,0.32641278939815455
140,0.3891495361289493
141,0.44554388526265887
142,0.5665521601707301
143,0.6244214299390701
144,0.6850162415727
145,0.7383245689418768
146,0.7557700297418118
147,0.8058297745316946
148,0.8142455724625516
149,0.830890310994496
150,0.7920638805781592
151,0.8098384991346318
152,0.8191389931889241
153,0.7453320898435727
154,0.5987521195086122
155,0.45999713917208795
156,0.35834126988620857
157,0.29150284089295053
158,0.22219638434127278
159,0.18951480138847268
160,0.17242510471473735
161,0.14115218755904443
162,0.07583199771867516
163,0.0645120756130094
164,-0.09249035463363847
165,0.0793442242925788
166,0.4016380305331122
167,0.41338932122028316
168,0.4840182648911954
169,0.48007878768043033
170,0.6839918866247651
171,0.8162510221036725
172,0.9185642997846911
173,0.896322648651984
174,0.945065813046164
175,0.7425675157406647
176,0.4344409397928424
177,0.21234672003637797
178,0.20261669808497632
179,0.312551593000308
180,0.3341248456895553
181,0.413565690611229
182,0.5520977740169531
183,0.6034794526950346
184,0.7537778324385118
185,0.8591546338091693
186,0.803547110054483
187,0.7660257778649643
188,0.6572622620178286
189,0.49074887095621766
190,0.2554177743254697
191,0.022711246554862972
192,-0.3624622444817414
