prolific_id,A1,A2,A3,A4,A5,A6,A7,A8,story,p_type,recall,q1,q2,q3,q4,q5,q6,q7,q8
596d9b437f8c1e00017cbb58,""" a grand hall with chandaliers; a fomerly fancy place converted to a lecture hall.""","""The class was chemistry and the lecture was about elemental ions""","""something about ions""","""the next thing was an exam over what they have covered to this point to be given at next class and they were to study""","""9 months""","""5 red diamonds""","""small notebook""","""sister""",24,soc,"Aron entered the lecture hall.  It was grand.  It had chandeliers and former decorative pieces had been replaced with white board for lectures.  Aron had met in this same hall 9 months earlier. The professor and Aron exchanged knowing looks and a wink.  Lanna was working on a problem.  The professor began the lecture and set up his slides.  Aron checked the ring again and considered what was happening.  The professor went again to his lecture.  He asked Aron and Lana to come forward for an experiment.  Lana was confused but they both went forward.  When they get there, Aron got down on one knee.  The professor jumped to a slide showing images of Lanna and Aron together that Aron had sent him beforehand.  Aron asked Lanna to marry him and presented the ring inside of a small notebook by turning the page.  Lanna was crying but managed to say yes.  The class room cheered.  The professor congratulated them.  Lanna texted her sister.  The professor dismissed the class saying it was enough excitement for one day.  But to study for an exam covering everything they had learned this semester so far.  Their friends were outside and hugged and congratulated them.",1.75,2.0,0.25,1.0,0.25,3.0,3.0,3.0
5f50d96e44327d254d59bce7,""" he has been thinking of the breakup for quite a while.""","""he wants to focus more on his carreer line on his own.""","""she does not want to breakup. the reason she stated is that she wants to help him plan his carreer with him.""","""sadie""","""it is decorated nicely""","""nil""","""nil""","""burger""",11,soc,"the story was about a man who was thinking of a way to breakup with his fiance. he called her to a restaurant, ordered something from the menus and finally broke the news to her with his reason being that he wants to focus more on his own.",0.0,0.0,0.0,0.0,0.5,3.0,1.75,1.0
5f62a0c4be0ef41e24f62c00,""" early ""","""its very important ""","""3rd ""","""f""","""30""","""both are bored""","""kelvin""","""Kelvin""",12,np,Kelvin and Jesus fix their seats when they arrive at the airport and they confirm their seats. Kelvin wanted to break up between them. They were walking through the platform of the port.,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
5f420cd40061580008f221a9,"""finance manager""","""28,000""","""i donapostrophet remember""","""hug""","""medium sized""","""roman studies, Augustus""","""Augustus""","""I donapostrophet know""",34,loc,"Charlie and Alma attend classes together in Roman Studies. Today's lecture was on Augustus. Charlie is a finance manager and Alma asked his help in investing. Charlie suggests an initial start-up of $28,000 but Alma is not sure. Then Charlie agrees to a deposit of $58,000. They hug and agree.",1.0,2.25,0.25,0.0,0.5,3.0,0.0,3.0
5d305152b2cfe00019231a2a,"""Black and white tiles on the floor.""","""Lamenated posters with food items on them.""","""Ruben and BLT""","""Thomas disliked the food and Sadie left before trying it.""","""A few months""","""Not enough time could be spent in the future together due to Thomas wanting to find a new job.""","""I do not believe Sadie wanted to break up and the reason is that it could still work, just spend less time together.""","""Sadie wants her polaroid camera and beetles poster""",11,np,"I remember Thomas wanted to breakup with Sadie, so he arranged a meeting at a diner for them to sit down and talk about it. They met at the diner, he eventually told her, she was not pleased. The waitress then asked what they wanted to eat, they ordered and then went back to talking. The food arrived, Sadie had one last input, took her food and left. Thomas sat there ate his food after that.",1.0,2.0,1.0,1.0,1.25,1.5,3.0,3.0
5f4d2495564c0687df102deb,"""  it consists of students and a podium""",,"""week 4 class  lecture on a subject on philosophy""","""submitted in the coming class""",""" for a while""","""long distance""","""no, he does not want a break up. long distance""",,14,soc,maria wants a break up with henry because she's traveling long distance,0.5,0.0,0.25,0.25,0.0,3.0,2.0,0.0
5f4a68e4d8963d5e469541f1,"""It was clean. There were a lot of organic foods. ""","""Emmanuella picks out some pasta boxes and vodka pasta sauce.""","""I do not remember how many checkout lanes were open, but they stepped into checkout lane 2.""","""The groceries are about 30 dollars. Emmanuella pays using her credit card.""","""Emmanuella has been thinking about it for a long time.""","""Emmanuella states that whenever they try to do something together, they also end up fighting for the stupidest reasons and she is past trying to work through it.""","""Liam also wants to break up. He agrees with the reasoning given by Emmanuella.""","""Liam wants his cat, Luna, back.""",13,np,"Emmanuella and Liam were in the grocery store in a heated fight that might seriously end their relationship. They were hosting a dinner party that night and had to gather ingredients for the dinner. As they entered the grocery store, it had a large variety of organic food. As the walked along the aisle, Emmanuella picked up a few pasta boxes. 

""I guess tonight will be pasta night,"" Liam said. 
""If you wanted to actually help, I would be fine with something else.""
""I try to help, but it never feels like you listen.""
""I honestly doubt that you're even trying,"" Emmanuella responded as she dropped the pasta boxes into the grocery cart. 

She continued on until she found the pasta sauces. She was picking up a vodka sauce jar, when suddenly she said very calmly, ""I think we should break up. I've been thinking about it for a long time. I would have brought it up to you earlier if it wasn't for this horribly timed dinner party. I feel like anytime we try to do anything fun together we always end up arguing over the stupidest thing, and I am way past trying to work through it."" Without even realizing, Liam nodded his head. 

As they approached the checkout lanes, they saw that checkout lane 2 was the only one open and headed over. As they were checking out, Emmanuella scrutinized the pasta sauce once again. Liam said, ""I agree, I think that we should break up."" Liam was happy as he felt the possibility open up that they had just gotten through their last fight. 

The cashier ringed them the items up: it came to a total of $30. Emmanuella paid with her credit card. 

Emmanuella said, ""I think that we can still hold the dinner party tonight if you don't mind.""
""I agree, we can pretend that we haven't broken up."" 
""The first one the reveal the information loses the cat.""
Liam chuckled. ""Of course I'm getting Luna; she's my cat.""

Emanuella sighed as she realized the cat would be a whole other thing they would fight over.",1.0,2.0,2.25,3.0,0.0,1.75,1.0,3.0
5f6053d2be7a76000a54da0a,""" cannot remember it clearly""","""as far I can remember , Teresa ordered 2 beer and...something else.""",,"""the clients had liked the food""","""cannot remember that clearly""","""I cannot remember it""","""cannot remember""",,41,soc,cannot describe it in details man.,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
5ed9c0336cb961557325f482,""" The lecture hall is sparse with folding chairs and no windows.""","""The students are in a class about Ancient Egypt and are learning about the process of mummification.""","""The funeral process was complex and difficult, but important and required multiple people.""","""There is a quiz on Friday about mummification""","""Leon is holding a bag walking into class when he notices Ariana?""","""Im sorry to bother you while learning about mummification, but are you from LA?""","""The couple will meet for a walk later that evening at 8""","""It is noon.""",44,loc,"Leon believes he recognizes Ariana from somewhere as they walk into their Ancient Egypt class. He is mesmerized by her. Eventually, he passes her a note asking where she's from while the professor discusses the complexities of mummification. Ariana doesn't recognize him, but thinks he looks cute and continues exchanging notes. Near the end of the class, they agree to meet later that evening in front of Patterson Hall for a walk. The professor announces there will be a quiz on Friday and the class ends. Ariana and Leon don't talk for long after class as she has another class at noon.",1.75,2.25,1.5,2.0,0.0,3.0,3.0,3.0
5f715998dddddd783c24fb3a,"""Not sure very forgettable""","""28000""","""Didnt catch it""","""hug""","""quiet""","""rome""","""Aposto""","""forgot""",34,loc,Two business partners were continuing a conversation in class or lecture hall. The professor was a woman talking Aposto and Romans. They settled for 56000 instead of the original 28000.,0.0,1.25,0.0,0.0,0.0,3.0,0.0,3.0
