sub,priming,qt,avg,story
sub-24,np,avg_soc,0.0,21
sub-25,loc,avg_loc,1.0,21
sub-25,loc,avg_soc,0.0,21
sub-26,loc,avg_loc,0.5,21
sub-26,loc,avg_soc,1.75,21
sub-27,np,avg_loc,0.75,21
sub-27,np,avg_soc,1.25,21
sub-30,soc,avg_loc,0.5,21
sub-30,soc,avg_soc,2.25,21
sub-31,loc,avg_loc,0.25,21
sub-31,loc,avg_soc,0.75,21
sub-32,soc,avg_loc,1.75,21
sub-32,soc,avg_soc,2.0,21
sub-35,soc,avg_loc,0.25,21
sub-35,soc,avg_soc,1.5,21
sub-36,loc,avg_loc,0.25,21
sub-36,loc,avg_soc,1.5,21
sub-37,np,avg_loc,0.75,21
sub-37,np,avg_soc,0.75,21
sub-38,np,avg_loc,1.0,21
sub-38,np,avg_soc,0.75,21
sub-04,soc,avg_loc,1.0,11
sub-04,soc,avg_soc,2.0,11
sub-05,soc,avg_loc,2.0,11
sub-05,soc,avg_soc,2.75,11
sub-06,soc,avg_loc,0.75,11
sub-06,soc,avg_soc,2.5,11
sub-08,np,avg_loc,2.25,11
sub-08,np,avg_soc,2.75,11
sub-09,loc,avg_loc,2.5,11
sub-09,loc,avg_soc,1.25,11
sub-10,loc,avg_loc,2.25,11
sub-10,loc,avg_soc,2.25,11
sub-12,np,avg_loc,2.0,11
sub-12,np,avg_soc,2.0,11
sub-13,np,avg_loc,1.75,11
sub-13,np,avg_soc,1.25,11
sub-14,soc,avg_loc,1.5,11
sub-14,soc,avg_soc,1.5,11
sub-16,np,avg_loc,0.75,11
sub-16,np,avg_soc,0.75,11
sub-18,np,avg_loc,1.5,11
sub-18,np,avg_soc,1.5,11
sub-20,np,avg_loc,1.25,11
sub-20,np,avg_soc,2.0,11
sub-21,loc,avg_loc,1.5,11
sub-21,loc,avg_soc,1.25,11
sub-22,loc,avg_loc,1.5,11
sub-22,loc,avg_soc,1.25,11
sub-23,soc,avg_loc,0.75,11
sub-23,soc,avg_soc,1.0,11
sub-24,soc,avg_loc,0.0,11
sub-24,soc,avg_soc,0.75,11
sub-27,soc,avg_loc,1.25,11
sub-27,soc,avg_soc,2.75,11
sub-28,loc,avg_loc,1.75,11
sub-28,loc,avg_soc,0.5,11
sub-29,loc,avg_loc,1.75,11
sub-29,loc,avg_soc,1.25,11
sub-30,np,avg_loc,1.5,11
sub-30,np,avg_soc,2.0,11
sub-32,np,avg_loc,0.0,11
sub-32,np,avg_soc,0.0,11
sub-33,loc,avg_loc,0.0,11
sub-33,loc,avg_soc,0.0,11
sub-34,loc,avg_loc,1.75,11
sub-34,loc,avg_soc,1.5,11
sub-35,np,avg_loc,0.0,11
sub-35,np,avg_soc,0.0,11
sub-36,loc,avg_loc,1.5,11
sub-36,loc,avg_soc,1.5,11
sub-37,soc,avg_loc,1.0,11
sub-37,soc,avg_soc,1.75,11
sub-38,soc,avg_loc,1.5,11
sub-38,soc,avg_soc,1.5,11
sub-01,loc,avg_loc,2.5,41
sub-01,loc,avg_soc,0.5,41
sub-02,loc,avg_loc,1.25,41
sub-02,loc,avg_soc,0.0,41
sub-03,loc,avg_loc,2.0,41
sub-03,loc,avg_soc,1.75,41
sub-04,np,avg_loc,0.0,41
sub-04,np,avg_soc,0.0,41
sub-05,np,avg_loc,1.0,41
sub-05,np,avg_soc,2.0,41
sub-06,np,avg_loc,0.5,41
sub-06,np,avg_soc,0.0,41
sub-07,loc,avg_loc,1.5,41
sub-07,loc,avg_soc,0.0,41
sub-08,np,avg_loc,1.0,41
sub-08,np,avg_soc,2.5,41
sub-12,soc,avg_loc,0.75,41
sub-12,soc,avg_soc,0.5,41
sub-13,np,avg_loc,2.0,41
sub-13,np,avg_soc,1.25,41
sub-14,np,avg_loc,1.5,41
sub-14,np,avg_soc,0.5,41
sub-16,soc,avg_loc,0.5,41
sub-16,soc,avg_soc,0.0,41
sub-18,soc,avg_loc,0.25,41
sub-18,soc,avg_soc,2.5,41
sub-19,loc,avg_loc,0.75,41
sub-19,loc,avg_soc,1.25,41
sub-20,soc,avg_loc,0.0,41
sub-20,soc,avg_soc,1.0,41
sub-22,loc,avg_loc,1.0,41
sub-22,loc,avg_soc,2.0,41
sub-23,np,avg_loc,0.0,41
sub-23,np,avg_soc,0.0,41
sub-24,np,avg_loc,0.25,41
sub-24,np,avg_soc,0.0,41
sub-27,soc,avg_loc,1.0,41
sub-27,soc,avg_soc,2.0,41
sub-28,loc,avg_loc,2.25,41
sub-28,loc,avg_soc,0.5,41
sub-29,loc,avg_loc,1.25,41
